Washington D.C.,Norfolk,208
Washington D.C.,Baltimore,39
Washington D.C.,Philadelphia,235
Washington D.C.,Pittsburgh,251
Washington D.C.,Charleston W.VA,380
Washington D.C.,Charlotte,388
Washington D.C.,Knoxville,512
Washington D.C.,Cincinnati,523
Washington D.C.,Richmond,108
Norfolk,Richmond,99
Knoxville,Nashville,177
Knoxville,Charlotte,231
Knoxville,Cincinnati,254
Knoxville,Raleigh,362
Knoxville,Charleston SC,403
Charleston SC,Myrtle Beach,98
Charleston SC,Savannah,108
Charleston SC,Charlotte,218
Charleston W.VA,Pittsburgh,221
Charleston W.VA,Louisville,257
Charleston W.VA,Cleveland,260
Charleston W.VA,Charlotte,314
Charleston W.VA,Richmond,331
Orlando,Daytona Beach,58
Orlando,Tampa,84
Orlando,Lake City,160
Orlando,Miami,236
Tallahassee,Lake City,111
Tallahassee,Montgomery,208
Tallahassee,Tampa,252
Tallahassee,Mobile,253
Tallahassee,Atlanta,275
Atlanta,Birmingham,149
Atlanta,Montgomery,161
Atlanta,Knoxville,230
Atlanta,Charlotte,249
Atlanta,Nashville,252
Atlanta,Savannah,256
Atlanta,Lake City,292
Atlanta,Charleston SC,329
Atlanta,Jacksonville,354
Atlanta,Memphis,394
Memphis,Little Rock,138
Memphis,Nashville,208
Memphis,Jackson,212
Memphis,Birmingham,241
Memphis,Springfield,281
Memphis,St. Louis,283
Jacksonville,Raleigh,536
Jacksonville,Charlotte,399
Jacksonville,Tampa,190
Jacksonville,Savannah,138
Jacksonville,Daytona Beach,99
Jacksonville,Lake City,65
Lake City,Tampa,169
Miami,Tampa,266
Miami,Key West,156
Miami,Daytona Beach,270
Kansas City,Topeka,65
Kansas City,Springfield,170
Kansas City,Wichita,183
Kansas City,Des Moines,197
Wilmington,Norfolk,259
Wilmington,Richmond,255
Wilmington,Myrtle Beach,71
Grand Forks,Fargo,76
Grand Forks,Minot,210
Grand Forks,Duluth,268
Duluth,Madison,340
Des Moines,Madison,373
Milwaukee,Madison,78
Chicago,Milwaukee,91
Chicago,Madison,152
Chicago,Indianapolis,177
Chicago,Grand Rapids,190
Chicago,St. Louis,302
Chicago,Cleveland,345
Chicago,Des Moines,362
Chicago,Nashville,473
Chicago,Kansas City,557
Chicago,Detroit,300
Detroit,Grand Rapids,157
Detroit,Cleveland,173
Detroit,Columbus,206
Detroit,Cincinnati,260
Detroit,Indianapolis,283
Detroit,Buffalo NY,417
Buffalo NY,Cleveland,194
Buffalo NY,Binghamton,220
Buffalo NY,Albany,289
Binghamton,Albany,137
Cincinnati,Louisville,102
Cincinnati,Indianapolis,108
Cincinnati,Columbus,109
Cincinnati,Columbus,202
Cincinnati,St. Louis,353
Montgomery,Birmingham,92
Montgomery,Mobile,171
Montgomery,Jackson,251
New York City,Hartford,118
New York City,Albany,160
New York City,Harrisburg,174
New York City,Binghamton,199
New York City,Cleveland,481
New York City,Philadelphia,99
Harrisburg,Philadelphia,105
Baltimore,Philadelphia,98
Boston,Hartford,101
Boston,Portland ME,103
Boston,Albany,177
Denver,Cheyenne,102
Denver,Lamar,206
Denver,Oakley,247
Denver,North Platte,290
Denver,Cortez,411
Denver,Albuquerque,457
Denver,Salt Lake City,529
Denver,St.George,648
Portland ME,Bangor,132
Portland OR,Eugene,115
Portland OR,Seattle,180
Portland OR,Riley,268
Portland OR,Crescent City,346
Portland OR,Spokane,400
Portland OR,Boise,439
Reno,Winnamucca,164
